decomposer,dataset,ACC,CC,EDy_EMD,EDy_Eu,"IBU (o=0, i=0.01)","IBU (o=0, i=0.1)","IBU (o=1, i=0.01)","IBU (o=1, i=0.1)",PACC,PCC,PDF_EMD,RUN (tau=1.0),RUN (tau=10.0),RUN (tau=100.0),SLD,SVD (tau=0.001),SVD (tau=0.01),SVD (tau=0.1),o-ACC (tau=0.001),o-ACC (tau=0.01),o-ACC (tau=0.1),"o-EDy (tau=0.001, d=EMD)","o-EDy (tau=0.01, d=EMD)","o-EDy (tau=0.1, d=EMD)","o-HDx (tau=0.001, 16 bins per feature)","o-HDx (tau=0.001, 8 bins per feature)","o-HDx (tau=0.1, 16 bins per feature)","o-HDx (tau=0.1, 8 bins per feature)","o-HDy (tau=0.001, 4 bins per class)","o-HDy (tau=0.001, 8 bins per class)","o-HDy (tau=0.1, 4 bins per class)","o-HDy (tau=0.1, 8 bins per class)",o-PACC (tau=0.001),o-PACC (tau=0.01),o-PACC (tau=0.1),"o-PDF (tau=0.001, J=100, d=s-EMD)","o-PDF (tau=0.01, J=100, d=s-EMD)","o-PDF (tau=0.1, J=100, d=s-EMD)","o-SLD (o=0, i=0.01)","o-SLD (o=0, i=0.1)","o-SLD (o=1, i=0.01)","o-SLD (o=1, i=0.1)",error
Monotone,SkillCraft1_rev_7clases,0.88911,0.90121,0.90691,0.90029,0.92589,0.92594,0.92571,0.92555,0.88629,0.87842,0.90564,0.90195,0.9183,0.92545,0.6715,0.91078,0.92343,0.92254,0.90801,0.92196,0.92114,0.92129,0.9278,0.92466,0.8786,0.88108,0.89509,0.90634,0.90063,0.90868,0.92741,0.92725,0.91859,0.91873,0.91219,0.91136,0.92092,0.92695,0.68093,0.72413,0.6813,0.72525,emd_score
Monotone,SkillCraft1_rev_8clases,0.90069,0.92063,0.92056,0.9149,0.92967,0.93339,0.92967,0.93313,0.90131,0.89446,0.91547,0.90847,0.92284,0.93222,0.72963,0.9159,0.92814,0.92717,0.91487,0.92874,0.92911,0.9307,0.93555,0.93148,0.89213,0.89195,0.9157,0.92249,0.91005,0.91776,0.93261,0.93299,0.92952,0.92735,0.92104,0.92227,0.93049,0.93529,0.73602,0.76855,0.73608,0.76879,emd_score
Monotone,abalone.ord_chu,0.8633,0.89442,0.90726,0.90077,0.89963,0.92188,0.89862,0.91975,0.8762,0.88733,0.89434,0.86767,0.87823,0.89268,0.63559,0.87573,0.89172,0.90206,0.87368,0.88889,0.90204,0.90484,0.90875,0.90897,0.82373,0.83098,0.82947,0.84088,0.8797,0.90356,0.90498,0.91527,0.90584,0.90852,0.90841,0.88949,0.89964,0.90654,0.63925,0.66341,0.63931,0.66223,emd_score
Monotone,ailerons_gago,0.91325,0.91714,0.94265,0.94271,0.94312,0.93752,0.94316,0.93736,0.92895,0.89936,0.93486,0.91849,0.93186,0.94081,0.81481,0.93091,0.94018,0.93545,0.93159,0.93969,0.93503,0.95046,0.94743,0.93841,0.88843,0.86542,0.89667,0.87394,0.93515,0.94092,0.94434,0.94559,0.94462,0.93506,0.92455,0.94357,0.94923,0.94646,0.82636,0.87492,0.82631,0.87424,emd_score
Monotone,auto.data.ord_chu,0.88866,0.91292,0.92174,0.9164,0.90547,0.92178,0.90545,0.9213,0.90293,0.91375,0.91702,0.89914,0.9147,0.91725,0.91434,0.89255,0.90551,0.91037,0.89279,0.907,0.91858,0.92027,0.92717,0.92607,0.88104,0.88963,0.8981,0.90643,0.89955,0.90885,0.9157,0.91805,0.91502,0.92543,0.92274,0.89205,0.89434,0.9037,0.91879,0.92993,0.91877,0.92959,emd_score
Monotone,bostonhousing.ord_chu,0.926,0.91878,0.93682,0.93481,0.93059,0.93345,0.93043,0.93248,0.9271,0.88674,0.93386,0.92896,0.92781,0.91176,0.84604,0.92612,0.92663,0.91549,0.92634,0.92753,0.92193,0.93602,0.93409,0.91677,0.88793,0.89527,0.88239,0.89067,0.91512,0.90647,0.91113,0.89738,0.92806,0.92673,0.91015,0.91214,0.91264,0.91309,0.84983,0.86533,0.84917,0.86043,emd_score
Monotone,californiahousing_gago,0.97505,0.91403,0.98113,0.98244,0.97671,0.95708,0.9767,0.9567,0.9803,0.89512,0.9782,0.9755,0.97631,0.97122,0.78922,0.97652,0.96577,0.94012,0.97627,0.96585,0.9397,0.97649,0.95592,0.93296,0.951,0.94611,0.93197,0.93255,0.98039,0.98191,0.96483,0.96465,0.96576,0.94563,0.92238,0.97857,0.9755,0.95626,0.79958,0.84164,0.7995,0.83801,emd_score
Monotone,cement_strength_gago,0.94348,0.93266,0.95014,0.95025,0.94851,0.94971,0.94844,0.94942,0.94721,0.89497,0.9487,0.94625,0.94797,0.93012,0.91298,0.94479,0.94658,0.93112,0.94434,0.94729,0.93346,0.95194,0.94531,0.92356,0.88931,0.87636,0.88992,0.88425,0.94673,0.95071,0.94,0.93986,0.94917,0.94194,0.91678,0.94736,0.94791,0.94541,0.91629,0.92633,0.91592,0.92388,emd_score
Monotone,kinematics_gago,0.91893,0.90431,0.94764,0.94877,0.94033,0.93014,0.94034,0.93018,0.92399,0.88169,0.93881,0.92508,0.93475,0.93549,0.91826,0.9338,0.93479,0.92826,0.93447,0.93453,0.92741,0.94395,0.93885,0.93044,0.90796,0.90537,0.91519,0.9174,0.91782,0.92296,0.93287,0.93405,0.93985,0.93113,0.91895,0.93323,0.94041,0.93755,0.92651,0.93523,0.92474,0.92527,emd_score
Monotone,skill_gago,0.8745,0.89808,0.90816,0.89933,0.91213,0.92233,0.91205,0.92193,0.8773,0.87657,0.9084,0.8868,0.90324,0.91612,0.69839,0.89343,0.90926,0.91276,0.89054,0.90911,0.91509,0.91697,0.92427,0.92431,0.87921,0.884,0.89689,0.90803,0.89031,0.90296,0.9219,0.92359,0.91479,0.91847,0.91298,0.90763,0.91705,0.92359,0.7077,0.74929,0.70801,0.75048,emd_score
Monotone,stock.ord,0.9746,0.97371,0.97844,0.9781,0.97796,0.97859,0.97796,0.97855,0.97691,0.95934,0.97884,0.97748,0.97677,0.95459,0.98183,0.97544,0.97519,0.95413,0.97476,0.97526,0.96013,0.98019,0.97863,0.94939,0.96461,0.96197,0.94717,0.94805,0.97791,0.9708,0.96913,0.95826,0.97708,0.97704,0.95403,0.97266,0.97264,0.9722,0.98232,0.98333,0.98231,0.98323,emd_score
Monotone,winequality-red_gago,0.76973,0.82932,0.81285,0.79286,0.79234,0.8405,0.79142,0.83717,0.76641,0.82464,0.77712,0.76884,0.79378,0.81521,0.45503,0.76742,0.79586,0.80981,0.78242,0.80532,0.82218,0.81812,0.84222,0.85342,0.72918,0.77046,0.76521,0.78107,0.79658,0.77626,0.83549,0.80596,0.83616,0.85469,0.85816,0.80377,0.8163,0.84126,0.4689,0.53208,0.45322,0.43378,emd_score
Monotone,winequality-white_gago_rev,0.83012,0.83875,0.8675,0.86667,0.86583,0.88408,0.86337,0.87391,0.79884,0.82652,0.8198,0.83615,0.84672,0.86032,0.42804,0.84703,0.86347,0.86917,0.84568,0.863,0.8645,0.8571,0.86681,0.8675,0.78393,0.79972,0.78421,0.80426,0.83109,0.83265,0.86027,0.85458,0.85431,0.86299,0.86793,0.83046,0.84444,0.85818,0.43125,0.45399,0.4269,0.42118,emd_score
Monotone,ERA,0.1083,0.0651,0.09056,0.08619,0.08304,0.0636,0.08307,0.06386,0.10215,0.0629,0.09327,0.10159,0.08074,0.06647,0.10596,0.10053,0.08031,0.06662,0.09928,0.07731,0.06624,0.07667,0.06603,0.06199,0.08574,0.09203,0.06637,0.0692,0.0967,0.08869,0.0689,0.06459,0.07401,0.06634,0.06343,0.08845,0.07541,0.06573,0.10122,0.0843,0.10137,0.08447,mae
Monotone,ESL,0.06095,0.06304,0.04886,0.05254,0.05532,0.0508,0.05533,0.05115,0.05572,0.0693,0.04689,0.05761,0.0548,0.07132,0.05873,0.05913,0.05526,0.06214,0.06027,0.05644,0.06285,0.04722,0.04701,0.06544,0.06516,0.06636,0.06808,0.06811,0.05351,0.05396,0.05666,0.06128,0.05297,0.05165,0.06866,0.06062,0.05973,0.05806,0.0551,0.04735,0.05508,0.04731,mae
Monotone,LEV,0.10987,0.08009,0.09863,0.09019,0.0895,0.0732,0.08977,0.07382,0.10086,0.09524,0.08916,0.10346,0.08356,0.07977,0.16006,0.10285,0.08475,0.08006,0.10622,0.0879,0.07998,0.08666,0.07498,0.0806,0.10535,0.10494,0.08778,0.08778,0.09578,0.10316,0.07711,0.08534,0.08497,0.07831,0.08426,0.09311,0.08578,0.07696,0.15643,0.1419,0.15642,0.1414,mae
